id,houseLink,pictureurl,area,road,size,totlefloor,floor,year,room,hall,bath,totalprice,unitprice
01238X,https://www.sinyi.com.tw/buy/house/01238X/?breadcrumb=list,https://res.sinyi.com.tw/buy/01238X/smallimg/A.JPG,內湖區,康樂街,42.81,5,5,35.5,3,2,2,1580,36.91
06590C,https://www.sinyi.com.tw/buy/house/06590C/?breadcrumb=list,https://res.sinyi.com.tw/buy/06590C/smallimg/A.JPG,內湖區,成功路二段,31.65,7,4,11.2,2,2,1,2098,66.29
84739R,https://www.sinyi.com.tw/buy/house/84739R/?breadcrumb=list,https://res.sinyi.com.tw/buy/84739R/smallimg/A.JPG,信義區,基隆路二段,19.14,10,4,11.9,1,1,1,1799,93.99
68817Y,https://www.sinyi.com.tw/buy/house/68817Y,https://res.sinyi.com.tw/buy/74050M/smallimg/A.JPG,中山區,中山北路二段,19.14,14,5,14.3,1,1,1,1788,93.42
19322M,https://www.sinyi.com.tw/buy/house/19322M/?breadcrumb=list,https://res.sinyi.com.tw/buy/19322M/smallimg/A.JPG,中山區,北安路,39.85,14,10,10.2,1,2,1,2988,74.98
08287E,https://www.sinyi.com.tw/buy/house/08287E/?breadcrumb=list,https://res.sinyi.com.tw/buy/08287E/smallimg/A.JPG,文山區,萬芳路,47.25,12,4,16.1,3,2,2,2680,56.72
34836J,https://www.sinyi.com.tw/buy/house/34836J/?breadcrumb=list,https://res.sinyi.com.tw/buy/34836J/smallimg/A.JPG,中山區,民權東路一段,100.26,16,2,5.7,4,2,2,7672,76.52
69012G,https://www.sinyi.com.tw/buy/house/69012G/?breadcrumb=list,https://res.sinyi.com.tw/buy/69012G/smallimg/A.JPG,信義區,基隆路一段,15.4,14,14,19.2,1,1,1,1680,109.09
15166D,https://www.sinyi.com.tw/buy/house/15166D/?breadcrumb=list,https://res.sinyi.com.tw/buy/15166D/smallimg/A.JPG,大同區,歸綏街,40.48,13,2,24.8,3,2,2,2580,63.74
74232B,https://www.sinyi.com.tw/buy/house/74232B/?breadcrumb=list,https://res.sinyi.com.tw/buy/74232B/smallimg/A.JPG,文山區,試院路,103.61,15,10,5.8,3,2,2,4880,47.1
69869A,https://www.sinyi.com.tw/buy/house/69869A/?breadcrumb=list,https://res.sinyi.com.tw/buy/69869A/smallimg/A.JPG,南港區,重陽路,81.91,15,14,10.9,4,2,4,9500,115.98
81263U,https://www.sinyi.com.tw/buy/house/81263U/?breadcrumb=list,https://res.sinyi.com.tw/buy/81263U/smallimg/A.JPG,信義區,永吉路,29.93,12,8,36.1,3,2,1,2168,72.44
92016F,https://www.sinyi.com.tw/buy/house/92016F/?breadcrumb=list,https://res.sinyi.com.tw/buy/92016F/smallimg/A.JPG,南港區,八德路四段,13.23,16,15,25.2,1,1,1,968,73.17
73422Y,https://www.sinyi.com.tw/buy/house/73422Y/?breadcrumb=list,https://res.sinyi.com.tw/buy/73422Y/smallimg/A.JPG,中山區,中山北路二段,28.58,14,2,17.6,1,1,1,1700,59.48
96216H,https://www.sinyi.com.tw/buy/house/96216H/?breadcrumb=list,https://res.sinyi.com.tw/buy/96216H/smallimg/A.JPG,中山區,新生北路二段,49.26,15,3,31.8,3,2,2,3680,74.71
73232S,https://www.sinyi.com.tw/buy/house/73232S/?breadcrumb=list,https://res.sinyi.com.tw/buy/73232S/smallimg/A.JPG,內湖區,康樂街,36.08,5,5,33.3,3,2,2,1800,49.89
65539N,https://www.sinyi.com.tw/buy/house/65539N/?breadcrumb=list,https://res.sinyi.com.tw/buy/65539N/smallimg/A.JPG,松山區,民生東路五段,56.1,7,4,40.2,4,2,2,3800,67.74
82882Z,https://www.sinyi.com.tw/buy/house/82882Z/?breadcrumb=list,https://res.sinyi.com.tw/buy/82882Z/smallimg/A.JPG,大安區,敦化南路二段,38.38,7,3,44.3,3,2,2,3520,91.71
53551T,https://www.sinyi.com.tw/buy/house/53551T/?breadcrumb=list,https://res.sinyi.com.tw/buy/53551T/smallimg/A.JPG,信義區,光復南路,20.08,12,4,32.3,1,2,1,2080,103.59
47098L,https://www.sinyi.com.tw/buy/house/47098L/?breadcrumb=list,https://res.sinyi.com.tw/buy/47098L/smallimg/A.JPG,中山區,農安街,53.92,12,2,35.0,4,2,3,3880,71.96
08359M,https://www.sinyi.com.tw/buy/house/08359M/?breadcrumb=list,https://res.sinyi.com.tw/buy/08359M/smallimg/A.JPG,大安區,忠孝東路四段,53.6,12,6,46.0,4,2,2,5288,98.66
85863M,https://www.sinyi.com.tw/buy/house/85863M/?breadcrumb=list,https://res.sinyi.com.tw/buy/85863M/smallimg/A.JPG,中正區,青島東路,40.96,7,7,34.7,2,2,5,3880,94.73
68393Q,https://www.sinyi.com.tw/buy/house/68393Q/?breadcrumb=list,https://res.sinyi.com.tw/buy/68393Q/smallimg/A.JPG,南港區,重陽路,93.35,9,4,11.5,4,2,2,5380,57.63
10691D,https://www.sinyi.com.tw/buy/house/10691D/?breadcrumb=list,https://res.sinyi.com.tw/buy/10691D/smallimg/A.JPG,北投區,承德路七段,74.17,13,7,6.9,3,2,2,5200,70.11
32540T,https://www.sinyi.com.tw/buy/house/32540T/?breadcrumb=list,https://res.sinyi.com.tw/buy/32540T/smallimg/A.JPG,大安區,信義路三段,18.96,14,6,14.0,1,1,1,2480,130.8
34291K,https://www.sinyi.com.tw/buy/house/34291K/?breadcrumb=list,https://res.sinyi.com.tw/buy/34291K/smallimg/A.JPG,松山區,富錦街,32.9,4,1,50.3,3,2,2,5680,172.64
93765N,https://www.sinyi.com.tw/buy/house/93765N/?breadcrumb=list,https://res.sinyi.com.tw/buy/93765N/smallimg/A.JPG,萬華區,國興路,46.29,10,8,30.2,3,2,2,3300,71.29
76040N,https://www.sinyi.com.tw/buy/house/76040N/?breadcrumb=list,https://res.sinyi.com.tw/buy/76040N/smallimg/A.JPG,內湖區,成功路二段,44.62,11,11,22.5,1,2,1,2280,51.1
22295N,https://www.sinyi.com.tw/buy/house/22295N/?breadcrumb=list,https://res.sinyi.com.tw/buy/22295N/smallimg/A.JPG,信義區,松德路,29.97,7,7,39.0,2,2,1,2300,76.74
99421V,https://www.sinyi.com.tw/buy/house/99421V/?breadcrumb=list,https://res.sinyi.com.tw/buy/99421V/smallimg/A.JPG,信義區,忠孝東路五段,32.56,11,6,5.6,2,1,1,2500,76.78
14721L,https://www.sinyi.com.tw/buy/house/14721L/?breadcrumb=list,https://res.sinyi.com.tw/buy/14721L/smallimg/A.JPG,大安區,大安路一段,41.84,10,5,38.9,3,2,2,4280,102.29
28325Z,https://www.sinyi.com.tw/buy/house/28325Z/?breadcrumb=list,https://res.sinyi.com.tw/buy/28325Z/smallimg/A.JPG,內湖區,內湖路二段,82.72,12,5,38.3,4,4,4,6680,80.75
91808Y,https://www.sinyi.com.tw/buy/house/91808Y/?breadcrumb=list,https://res.sinyi.com.tw/buy/91808Y/smallimg/A.JPG,文山區,興隆路三段,44.65,17,10,4.6,2,2,2,2799,62.69
28293Q,https://www.sinyi.com.tw/buy/house/28293Q/?breadcrumb=list,https://res.sinyi.com.tw/buy/28293Q/smallimg/A.JPG,松山區,市民大道四段,33.21,7,6,43.0,3,2,2,2750,82.81
22658B,https://www.sinyi.com.tw/buy/house/22658B/?breadcrumb=list,https://res.sinyi.com.tw/buy/22658B/smallimg/A.JPG,萬華區,永福街,79.72,14,2,12.6,2,2,1,3988,50.03
48393Q,https://www.sinyi.com.tw/buy/house/48393Q/?breadcrumb=list,https://res.sinyi.com.tw/buy/48393Q/smallimg/A.JPG,中正區,水源路,46.3,15,8,1.9,3,2,2,5199,112.29
06881G,https://www.sinyi.com.tw/buy/house/06881G/?breadcrumb=list,https://res.sinyi.com.tw/buy/06881G/smallimg/A.JPG,萬華區,西園路二段,38.34,12,2,37.9,3,2,2,1868,48.72
33376R,https://www.sinyi.com.tw/buy/house/33376R/?breadcrumb=list,https://res.sinyi.com.tw/buy/33376R/smallimg/A.JPG,內湖區,成功路二段,78.74,14,5,5.7,3,2,2,5580,70.87
98117Y,https://www.sinyi.com.tw/buy/house/98117Y/?breadcrumb=list,https://res.sinyi.com.tw/buy/98117Y/smallimg/A.JPG,中山區,長安東路二段,161.67,12,2,38.1,3,3,3,9688,59.92
34716T,https://www.sinyi.com.tw/buy/house/34716T/?breadcrumb=list,https://res.sinyi.com.tw/buy/34716T/smallimg/A.JPG,中山區,長安東路二段,42.35,14,12,4.9,1,2,1,3388,80.0
63904P,https://www.sinyi.com.tw/buy/house/63904P/?breadcrumb=list,https://res.sinyi.com.tw/buy/63904P/smallimg/A.JPG,內湖區,民權東路六段,35.98,11,7,5.4,3,2,1,2988,83.05
50665T,https://www.sinyi.com.tw/buy/house/50665T/?breadcrumb=list,https://res.sinyi.com.tw/buy/50665T/smallimg/A.JPG,內湖區,南京東路六段,37.59,7,7,12.2,2,2,1,2650,70.5
95407K,https://www.sinyi.com.tw/buy/house/95407K/?breadcrumb=list,https://res.sinyi.com.tw/buy/95407K/smallimg/A.JPG,南港區,研究院路二段,72.35,7,2,12.0,3,4,2,4500,62.2
69658J,https://www.sinyi.com.tw/buy/house/69658J/?breadcrumb=list,https://res.sinyi.com.tw/buy/69658J/smallimg/A.JPG,北投區,光明路,42.02,29,10,13.3,3,2,2,3158,75.15
86225X,https://www.sinyi.com.tw/buy/house/86225X/?breadcrumb=list,https://res.sinyi.com.tw/buy/86225X/smallimg/A.JPG,中山區,松江路,14.09,12,9,30.8,2,1,1,1400,99.36
26710S,https://www.sinyi.com.tw/buy/house/26710S/?breadcrumb=list,https://res.sinyi.com.tw/buy/26710S/smallimg/A.JPG,文山區,辛亥路四段,17.45,10,5,25.8,1,1,1,938,53.75
82490Y,https://www.sinyi.com.tw/buy/house/82490Y/?breadcrumb=list,https://res.sinyi.com.tw/buy/82490Y/smallimg/A.JPG,中正區,師大路,35.47,12,2,43.2,3,2,3,2450,69.07
82726H,https://www.sinyi.com.tw/buy/house/82726H/?breadcrumb=list,https://res.sinyi.com.tw/buy/82726H/smallimg/A.JPG,大安區,建國南路一段,20.89,12,6,44.4,2,1,1,1980,94.78
02996L,https://www.sinyi.com.tw/buy/house/02996L/?breadcrumb=list,https://res.sinyi.com.tw/buy/02996L/smallimg/A.JPG,中正區,中華路二段,52.96,7,5,4.7,3,2,2,3980,75.15
27055G,https://www.sinyi.com.tw/buy/house/27055G/?breadcrumb=list,https://res.sinyi.com.tw/buy/27055G/smallimg/A.JPG,中正區,延平南路,47.04,5,4,28.1,3,2,2,4200,89.29
