id,name,houseLink,pictureurl,area,road,year,totlefloor,floor,lfloors,size,room,hall,bath,totalprice,type,lands,blan,parking
10,面公園綠蔭小宅,https://buy.yungching.com.tw/house/4567849,https://fps.hfcdn.com/v1/image/?key=NF58Ko5oaCsxV9EyBWaXltK8uUBgBVb6PPLK92aFgz0E4JV00PLUblB45BFWfuvKqVhtUUJ4lA_cF1mBh5MY1RWd5eEaa7mn9qxu8f6s-rtKfVoBsurTgAnsNQ3b1ueVa0jD0JJgeWt02Xc92Hgeax9ptXAdU5ZuHyqQdxAoaDgB84hAAJBJ-aPJnP6QjjHNJdO-8s9VPXXQ_ruSEFqcK8ShYsvown2RKluDB4vs3XCba78wTuCNPINc3dOPPQMQ7B1phpHz8Gf1IwmTkNi-8egw_kxkxkdM5Y2LgriectG9txh5JQn0mw&width=480&height=0,中山區,林森北路,38.6,12.0,6 , 6,10.53,0.0,1.0,1.0,520,辦公商業大樓,,7.35,
11,金店面新氣象,https://buy.yungching.com.tw/house/4568093,https://fps.hfcdn.com/v1/image/?key=NF58Ko5oaCugTviBljn-E7wbF_vBfYzcoauTkVFsq_8AWgpM5drsLpxC9URXpK-xqVhtUUJ4lA_cF1mBh5MY1RWd5eEaa7mn9qxu8f6s-rtKfVoBsurTgAnsNQ3b1ueVa0jD0JJgeWt02Xc92Hgeax9ptXAdU5ZuHyqQdxAoaDgB84hAAJBJ-aPJnP6QjjHNJdO-8s9VPXXQ_ruSEFqcK8ShYsvown2RKluDB4vs3XCba78wTuCNPINc3dOPPQMQMQDLL6rbVXv1IwmTkNi-8egw_kxkxkdM5Y2LgriectG9txh5JQn0mw&width=480&height=0,大同區,民權西路,1.7,19.0,1 , 2,56.97,0.0,2.0,0.5,5500,辦公商業大樓,4.26,31.59,(含車位11.90坪)
12,謙回日系質感大賞,https://buy.yungching.com.tw/house/4568464,https://fps.hfcdn.com/v1/image/?key=NF58Ko5oaCsItpki-8oavaX2b8lhx2L3TrK8lEL2HfqjSVhV90SiJDzuU-kwP5_KqVhtUUJ4lA_cF1mBh5MY1RWd5eEaa7mn9qxu8f6s-rtKfVoBsurTgAnsNQ3b1ueVa0jD0JJgeWt02Xc92Hgeax9ptXAdU5ZuHyqQdxAoaDgB84hAAJBJ-aPJnP6QjjHNJdO-8s9VPXXQ_ruSEFqcK8ShYsvown2RbJENeZqhwTM&width=480&height=0,大安區,基隆路二段,9.1,13.0,7 , 7,122.83,5.0,2.0,2.0,11588,住宅大樓,15.4,56.91,(含車位35.30坪)
13,奇岩清幽景觀別墅,https://buy.yungching.com.tw/house/4568789,https://fps.hfcdn.com/v1/image/?key=NF58Ko5oaCsgDY1xeuD3BJFVV4dKxTc3-03QwDyNLZBiuLRVRdGyXexzwS2XVXQeqVhtUUJ4lA_cF1mBh5MY1RWd5eEaa7mn9qxu8f6s-rtKfVoBsurTgAnsNQ3b1ueVa0jD0JJgeWt02Xc92Hgeax9ptXAdU5ZuHyqQdxAoaDgB84hAAJBJ-aPJnP6QjjHNJdO-8s9VPXXQ_ruSEFqcK8ShYsvown2RbJENeZqhwTM&width=480&height=0,北投區,奇岩路,19.3,8.0,1 , 3,152.45,5.0,3.0,4.0,5800,透天厝,58.17,68.35,(含車位63.01坪)
14,官邸高樓大空間,https://buy.yungching.com.tw/house/4568998,https://fps.hfcdn.com/v1/image/?key=NF58Ko5oaCtrD3yUZB9VxrVB1BeF-SLpD1CwsusMwa7OFByGWkt6YP_dG32yidcwqVhtUUJ4lA_cF1mBh5MY1RWd5eEaa7mn9qxu8f6s-rtKfVoBsurTgAnsNQ3b1ueVa0jD0JJgeWt02Xc92Hgeax9ptXAdU5ZuHyqQdxAoaDgB84hAAJBJ-aPJnP6QjjHNJdO-8s9VPXXQ_ruSEFqcK8ShYsvown2RbJENeZqhwTM&width=480&height=0,中山區,民權東路一段,5.7,16.0,13 , 13,100.28,0.0,1.0,1.0,7800,住宅大樓,6.31,45.39,(含車位28.75坪)
15,松雲稀有大戶釋出,https://buy.yungching.com.tw/house/4569284,https://fps.hfcdn.com/v1/image/?key=NF58Ko5oaCtQ2eG14qZvl9WYs6tPgJv9W9TMp4td317OG7nJqMHk2BBAhLM0tm4-qVhtUUJ4lA_cF1mBh5MY1RWd5eEaa7mn9qxu8f6s-rtKfVoBsurTgAnsNQ3b1ueVa0jD0JJgeWt02Xc92Hgeax9ptXAdU5ZuHyqQdxAoaDgB84hAAJBJ-aPJnP6QjjHNJdO-8s9VPXXQ_ruSEFqcK8ShYsvown2RKluDB4vs3XCba78wTuCNPINc3dOPPQMQ7B1phpHz8Gf1IwmTkNi-8egw_kxkxkdM5Y2LgriectG9txh5JQn0mw&width=480&height=0,文山區,恆光街,30.4,8.0,B1 , 2,85.02,5.0,3.0,3.0,4250,華廈,16.98,37.13,(含車位13.93坪)
16,低總價近捷運純辦,https://buy.yungching.com.tw/house/4569301,https://fps.hfcdn.com/v1/image/?key=NF58Ko5oaCuVJ_NAguA4wTvYS4nCwbBxM9zGJIRBjZ2SjrPp63E73NhLcNYmumM4qVhtUUJ4lA_cF1mBh5MY1RWd5eEaa7mn9qxu8f6s-rtKfVoBsurTgAnsNQ3b1ueVa0jD0JJgeWt02Xc92Hgeax9ptXAdU5ZuHyqQdxAoaDgB84hAAJBJ-aPJnP6QjjHNJdO-8s9VPXXQ_ruSEFqcK8ShYsvown2RbJENeZqhwTM&width=480&height=0,信義區,文昌街,18.3,14.0,3 , 3,41.75,0.0,1.0,0.0,3480,辦公商業大樓,3.82,24.09,
17,捷運馬路面寬金店,https://buy.yungching.com.tw/house/4569300,https://fps.hfcdn.com/v1/image/?key=NF58Ko5oaCtRhkTr6chnBxgM9Zrvm6gXuaPUgAr1Kl5J78_1uwCngdbsSMXVodk_qVhtUUJ4lA_cF1mBh5MY1RWd5eEaa7mn9qxu8f6s-rtKfVoBsurTgAnsNQ3b1ueVa0jD0JJgeWt02Xc92Hgeax9ptXAdU5ZuHyqQdxAoaDgB84hAAJBJ-aPJnP6QjjHNJdO-8s9VPXXQ_ruSEFqcK8ShYsvown2RbJENeZqhwTM&width=480&height=0,南港區,中坡南路,14.7,11.0,1 , 1,50.95,0.0,3.0,1.0,7688,店面,12.06,20.66,(含車位1.15坪)
18,芝山捷運三房車位,https://buy.yungching.com.tw/house/4569465,https://fps.hfcdn.com/v1/image/?key=NF58Ko5oaCsiIcOcUHAM8Adnq3o0_mtl0ZqNFwEty9EduzMpxI4N4aVxscTe3K8eqVhtUUJ4lA_cF1mBh5MY1RWd5eEaa7mn9qxu8f6s-rtKfVoBsurTgAnsNQ3b1ueVa0jD0JJgeWt02Xc92Hgeax9ptXAdU5ZuHyqQdxAoaDgB84hAAJBJ-aPJnP6QjjHNJdO-8s9VPXXQ_ruSEFqcK8ShYsvown2RKluDB4vs3XCba78wTuCNPINc3dOPPQMQruh-Gt23mTzaYgmqa__ngegw_kxkxkdM5Y2LgriectG9txh5JQn0mw&width=480&height=0,士林區,雨聲街,11.5,6.0,2 , 2,59.68,3.0,2.0,2.0,4580,華廈,13.96,31.31,(含車位4.09坪)
19,基泰近捷運管理宅,https://buy.yungching.com.tw/house/4569677,https://fps.hfcdn.com/v1/image/?key=NF58Ko5oaCuRPgZqSzEyP1np5CbMHJIYfJKpsOBiwaU7UWjlZNsHiHQvbaw1Pt-GqVhtUUJ4lA_cF1mBh5MY1RWd5eEaa7mn9qxu8f6s-rtKfVoBsurTgAnsNQ3b1ueVa0jD0JJgeWt02Xc92Hgeax9ptXAdU5ZuHyqQdxAoaDgB84hAAJBJ-aPJnP6QjjHNJdO-8s9VPXXQ_ruSEFqcK8ShYsvown2RKluDB4vs3XCba78wTuCNPINc3dOPPQMQruh-Gt23mTzaYgmqa__ngegw_kxkxkdM5Y2LgriectG9txh5JQn0mw&width=480&height=0,信義區,基隆路二段,10.4,15.0,3 , 3,50.03,2.0,2.0,1.0,3780,住宅大樓,3.37,22.32,(含車位11.71坪)
